"window_start","k_mgl","mg_mgl","ca_mgl","no3n_mgl","nh4n_mgl","site"
1992-02-25,1.12,3.35111111111111,6.21,127.375,NA,"BQ3"
1992-04-28,0.935555555555556,2.73,4.05444444444444,115,NA,"BQ3"
1992-06-30,1.14111111111111,3.26333333333333,4.68222222222222,44.8888888888889,NA,"BQ3"
1992-09-01,0.893333333333333,3.21777777777778,4.83555555555556,56.3333333333333,NA,"BQ3"
1992-11-03,1.09777777777778,3.24666666666667,4.52888888888889,40.2857142857143,NA,"BQ3"
1993-01-05,0.812222222222222,3.02111111111111,4.03777777777778,207,NA,"BQ3"
1993-03-09,0.812222222222222,3.57111111111111,4.42444444444444,129.125,NA,"BQ3"
1993-05-11,0.855,3.06375,4.31625,59,NA,"BQ3"
1993-07-13,0.835555555555556,2.95,4.68777777777778,102.833333333333,NA,"BQ3"
1993-09-14,0.804444444444444,3.0775,4.52666666666667,43.6666666666667,NA,"BQ3"
1993-11-16,0.883333333333333,2.75777777777778,4.22555555555556,32.3333333333333,NA,"BQ3"
1994-01-18,0.837777777777778,2.97333333333333,4.36666666666667,11,NA,"BQ3"
1994-03-22,0.862222222222222,3.36666666666667,5.06666666666667,49,NA,"BQ3"
1994-05-24,0.907,3.657,5.294,52.1111111111111,NA,"BQ3"
1994-07-26,0.843333333333333,3.52222222222222,4.98,NA,NA,"BQ3"
1994-09-27,0.864444444444444,3.15444444444444,4.56111111111111,NA,NA,"BQ3"
1994-11-29,0.85,3.198,4.586,NA,NA,"BQ3"
1988-01-05,NA,NA,NA,NA,NA,"PR"
1988-03-08,NA,NA,NA,NA,NA,"PR"
1988-05-10,NA,NA,NA,NA,NA,"PR"
1988-07-12,NA,NA,NA,NA,NA,"PR"
1988-09-13,NA,NA,NA,NA,NA,"PR"
1988-11-15,NA,NA,NA,NA,NA,"PR"
1989-01-17,NA,NA,NA,NA,NA,"PR"
1989-03-21,0.77,1.92,6.15,69,NA,"PR"
1989-05-23,0.675,1.965,6.525,58.2857142857143,NA,"PR"
1989-07-25,0.661428571428571,1.57833333333333,6.25285714285714,73.7142857142857,NA,"PR"
1989-09-26,1.21,2.194,6.906,263.5,NA,"PR"
1989-11-28,0.9,2.51875,9.15375,85.8571428571429,NA,"PR"
1990-01-30,1.08555555555556,2.04888888888889,8.305,243.888888888889,NA,"PR"
1990-04-03,0.994444444444444,2.20777777777778,9.50333333333333,130.111111111111,NA,"PR"
1990-06-05,0.93,2.03555555555556,8.52333333333333,175.666666666667,NA,"PR"
1990-08-07,0.842222222222222,2.10555555555556,9.42111111111111,128.888888888889,NA,"PR"
1990-10-09,0.763333333333333,1.79555555555556,6.92,142.125,NA,"PR"
1990-12-11,0.648888888888889,2.25,7.63222222222222,139,NA,"PR"
1991-02-12,0.902222222222222,1.90111111111111,7.14625,96,NA,"PR"
1991-04-16,0.773333333333333,0.831428571428571,4.7,55.125,NA,"PR"
1991-06-18,0.77375,1.96875,6.26,57.125,NA,"PR"
1991-08-20,0.838888888888889,2.47666666666667,8.87777777777778,106,NA,"PR"
1991-10-22,0.657777777777778,1.82333333333333,6.10333333333333,105.6,NA,"PR"
1991-12-24,0.8425,2.17875,9.35375,114.625,NA,"PR"
1992-02-25,0.918888888888889,2.75111111111111,9.365,107.375,NA,"PR"
1992-04-28,0.836666666666667,1.75222222222222,7.10111111111111,54.625,NA,"PR"
1992-06-30,0.793333333333333,2.15777777777778,8.5,43.6666666666667,NA,"PR"
